order_id,is_prepaid,city_tier,past_cod_rejections,order_value,item_category,address_text,address_completeness,order_hour,is_weekend,rejected
ORD00087,1,1,4,310.0,accessories,"Church Street, Ranchi",40,18,0,1
ORD00088,1,2,1,560.0,accessories,"Flat 4B, Sector 12, Near Govt School, Pune, 147024",100,9,0,0
ORD00089,1,3,0,810.0,home,"H.No. 8, Gandhi Marg, Near Water Tank, Ranchi",77,4,1,0
ORD00090,0,1,3,470.0,beauty,"Flat 4B, Sector 12, Pune, 309092",90,10,1,1
ORD00091,0,2,2,1060.0,grocery,"23, Model Colony, Bhopal",67,8,1,0
ORD00092,1,2,0,470.0,beauty,"23, Park Street, Ranchi, 137981",90,15,1,0
ORD00093,1,2,1,1550.0,beauty,"H.No. 8, MG Road, Mumbai, 464545",90,4,1,0
ORD00094,1,3,4,620.0,accessories,"MG Road, Bhopal, 496179",63,14,1,0
ORD00095,1,2,0,1000.0,home,"H.No. 8, MG Road, Kanpur, 165369",90,13,0,0
ORD00096,0,2,3,1040.0,beauty,"Nehru Nagar, Ranchi, 830632",63,8,0,1
ORD00097,0,1,0,460.0,grocery,"Plot No. 17, Station Road, Mirzapur, 848994",90,19,0,0
ORD00098,0,1,0,200.0,beauty,"23, MG Road, Mumbai, 383120",90,4,0,0
ORD00099,0,1,0,830.0,beauty,"H.No. 8, Station Road, Opposite Petrol Pump, Bhopal, 593530",100,14,1,1
ORD00100,0,1,1,690.0,fashion,"23, Lake View Lane, Near City Hospital, Bhopal",77,8,0,0
ORD00101,0,2,2,930.0,electronics,"23, Station Road, Kanpur, 158332",90,3,0,0
ORD00102,1,2,5,580.0,fashion,"Plot No. 17, Church Street, Kanpur",67,20,0,0
ORD00103,0,2,0,510.0,home,"H.No. 8, Gandhi Marg, Bhopal, 428675",90,20,0,0
ORD00104,0,1,0,2220.0,electronics,"Door No. 5, Sector 12, Near City Hospital, Nagpur, 347650",100,3,0,0
ORD00105,1,1,2,270.0,accessories,"H.No. 8, MG Road, Near City Hospital, Kanpur, 153437",100,19,1,1
ORD00106,0,2,1,1030.0,beauty,"Plot No. 17, Nehru Nagar, Near Water Tank, Kanpur, 297262",100,20,0,0
ORD00107,0,3,0,470.0,grocery,"Plot No. 17, Sector 12, Opposite Petrol Pump, Pune, 264594",100,21,0,0
ORD00108,1,1,0,540.0,electronics,"Flat 4B, Lake View Lane, Behind Central Mall, Jaipur, 384184",100,6,1,0
ORD00109,0,3,1,550.0,grocery,"Flat 4B, Nehru Nagar, Indore, 350021",90,14,1,0
ORD00110,0,2,2,410.0,beauty,"23, Gandhi Marg, Opposite SBI Bank, Pune, 789245",100,21,0,0
ORD00111,0,2,0,940.0,beauty,"Door No. 5, Lake View Lane, Near Govt School, Patna, 151290",100,16,0,1
ORD00112,0,2,0,1530.0,fashion,"Door No. 5, Model Colony, Patna, 471975",90,17,0,0
ORD00113,1,1,4,880.0,home,"Plot No. 17, Gandhi Marg, Kanpur",67,6,1,0
ORD00114,1,1,1,710.0,beauty,"Plot No. 17, Lake View Lane, Indore",67,18,0,0
ORD00115,1,2,0,370.0,home,"Plot No. 17, Park Street, Nagpur, 370741",90,9,0,0
ORD00116,1,2,0,910.0,accessories,"Plot No. 17, Sector 12, Near City Hospital, Jaipur, 797664",100,12,0,0
ORD00117,1,3,1,2430.0,accessories,"Plot No. 17, MG Road, Near Govt School, Mirzapur, 387717",100,1,1,0
ORD00118,0,2,0,530.0,accessories,"Sector 12, Jaipur, 447051",63,21,0,0
ORD00119,1,1,0,530.0,beauty,"Plot No. 17, MG Road, Jaipur, 763867",90,19,0,0
ORD00120,0,2,0,480.0,accessories,"Plot No. 17, Park Street, Opposite SBI Bank, Kanpur, 743596",100,10,0,0
ORD00121,1,1,0,500.0,grocery,"H.No. 8, Gandhi Marg, Indore, 778446",90,4,0,0
ORD00122,1,2,1,200.0,fashion,"Plot No. 17, Station Road, Nagpur, 188784",90,5,0,0
ORD00123,0,2,0,850.0,electronics,"Door No. 5, Lake View Lane, Mumbai, 531953",90,2,0,0
ORD00124,0,3,1,400.0,fashion,"H.No. 8, Lake View Lane, Opposite Petrol Pump, Mirzapur, 159094",100,0,0,1
ORD00125,0,3,0,250.0,fashion,"23, Park Street, Opposite SBI Bank, Patna, 500493",100,2,1,0
ORD00126,0,2,0,1050.0,fashion,"Door No. 5, Sector 12, Lucknow, 517796",90,2,0,1
ORD00127,1,2,0,350.0,fashion,"Lake View Lane, Indore, 777934",63,21,1,0
ORD00128,1,3,3,540.0,beauty,"H.No. 8, Nehru Nagar, Indore, 620921",90,3,0,0
ORD00129,0,1,2,1600.0,electronics,"23, Nehru Nagar, Jaipur, 596660",90,6,0,0
ORD00130,0,1,0,290.0,electronics,"MG Road, Behind Central Mall, Jaipur, 812324",73,14,0,0
ORD00131,0,1,2,270.0,grocery,"23, Church Street, Mirzapur",67,10,0,0
ORD00132,0,1,1,780.0,grocery,"Door No. 5, Lake View Lane, Patna, 689287",90,17,0,0
ORD00133,0,2,4,1330.0,accessories,"H.No. 8, Ashok Vihar, Near Water Tank, Indore, 482664",100,11,0,1
ORD00134,0,2,0,260.0,beauty,"Flat 4B, Gandhi Marg, Patna",67,3,1,1
ORD00135,1,2,1,850.0,electronics,"H.No. 8, Lake View Lane, Opposite SBI Bank, Bhopal, 537722",100,23,1,0
ORD00136,0,1,0,940.0,electronics,"H.No. 8, Ashok Vihar, Lucknow, 317802",90,10,0,0
ORD00137,0,2,0,200.0,fashion,"Ashok Vihar, Kanpur",40,5,0,0
ORD00138,1,2,4,1070.0,fashion,"23, Sector 12, Opposite Petrol Pump, Pune, 721358",100,18,0,0
ORD00139,0,2,0,1130.0,electronics,"23, Ashok Vihar, Ranchi, 842718",90,17,1,0
ORD00140,1,2,0,550.0,accessories,"Door No. 5, Nehru Nagar, Bhopal",67,14,0,0
ORD00141,1,2,0,1410.0,fashion,"Station Road, Mirzapur, 814898",63,2,0,0
ORD00142,0,1,1,1320.0,fashion,"Flat 4B, Model Colony, Lucknow, 164601",90,16,0,0
ORD00143,0,1,1,710.0,fashion,"Flat 4B, Park Street, Opposite Petrol Pump, Mumbai, 139153",100,0,0,0
ORD00144,0,3,0,510.0,beauty,"Plot No. 17, Ashok Vihar, Bhopal, 643021",90,1,0,0
ORD00145,0,3,4,370.0,electronics,"H.No. 8, Lake View Lane, Ranchi, 760571",90,18,0,1
ORD00146,0,2,0,650.0,electronics,"Plot No. 17, Gandhi Marg, Opposite Petrol Pump, Pune",77,8,0,0
ORD00147,1,1,0,940.0,fashion,"MG Road, Nagpur",40,7,0,0
ORD00148,0,2,3,550.0,electronics,"Plot No. 17, Park Street, Near City Hospital, Lucknow, 710081",100,11,0,0
ORD00149,0,2,0,200.0,fashion,"H.No. 8, Sector 12, Bhopal, 568669",90,14,0,0
ORD00150,0,3,0,1420.0,home,"23, Ashok Vihar, Lucknow, 174712",90,22,0,1
ORD00151,1,1,0,750.0,fashion,"23, Lake View Lane, Pune, 495262",90,6,0,0
ORD00152,0,1,2,530.0,grocery,"Door No. 5, Gandhi Marg, Lucknow, 464831",90,20,0,1
ORD00153,0,2,0,1110.0,home,"Door No. 5, Lake View Lane, Nagpur, 576674",90,15,0,0
ORD00154,0,2,4,1660.0,beauty,"Flat 4B, Park Street, Lucknow, 782299",90,6,1,0
ORD00155,1,1,2,200.0,electronics,"Door No. 5, Gandhi Marg, Near Govt School, Bhopal",77,19,1,0
ORD00156,0,1,0,860.0,electronics,"Plot No. 17, Model Colony, Bhopal, 622907",90,20,0,0
ORD00157,1,2,1,280.0,fashion,"23, Nehru Nagar, Bhopal, 278786",90,11,0,0
ORD00158,1,3,0,900.0,home,"Door No. 5, Model Colony, Pune",67,16,1,0
ORD00159,0,3,0,720.0,home,"Sector 12, Indore",40,10,0,0
ORD00160,1,2,2,970.0,electronics,"Door No. 5, Nehru Nagar, Jaipur, 440570",90,3,0,0
ORD00161,0,2,4,490.0,beauty,"Nehru Nagar, Pune, 377657",63,18,1,0
ORD00162,1,1,0,220.0,grocery,"23, Lake View Lane, Behind Central Mall, Mumbai, 799757",100,1,0,0
ORD00163,1,2,0,510.0,grocery,"Door No. 5, MG Road, Ranchi, 264592",90,1,0,0
ORD00164,0,2,0,850.0,fashion,"H.No. 8, Model Colony, Mirzapur",67,23,0,0
ORD00165,0,2,0,1220.0,beauty,"Sector 12, Mirzapur, 153675",63,16,0,0
ORD00166,1,2,0,330.0,fashion,"Door No. 5, Lake View Lane, Guwahati, 283292",90,23,0,1
ORD00167,0,1,0,1230.0,beauty,"Gandhi Marg, Near Govt School, Lucknow, 306178",73,8,0,0
ORD00168,0,1,1,450.0,electronics,"MG Road, Indore, 607418",63,21,0,0
ORD00169,0,2,0,830.0,fashion,"23, Gandhi Marg, Nagpur",67,0,0,0
ORD00170,1,1,0,490.0,accessories,"Door No. 5, Nehru Nagar, Mirzapur, 374057",90,9,0,0
ORD00171,1,1,2,740.0,beauty,"Flat 4B, Church Street, Opposite Petrol Pump, Mumbai, 836224",100,22,0,0
ORD00172,0,3,2,1140.0,electronics,"Flat 4B, Nehru Nagar, Jaipur, 334438",90,14,0,0
ORD00173,0,2,0,320.0,fashion,"Plot No. 17, Model Colony, Near Water Tank, Indore, 772893",100,20,0,0
ORD00174,0,2,0,440.0,home,"Plot No. 17, Ashok Vihar, Lucknow, 305895",90,14,0,0
ORD00175,1,3,1,740.0,accessories,"23, Gandhi Marg, Patna",67,22,0,0
ORD00176,0,3,0,2810.0,home,"Plot No. 17, Ashok Vihar, Near City Hospital, Kanpur, 169228",100,20,0,0
ORD00177,1,2,0,400.0,accessories,"23, Lake View Lane, Pune, 186057",90,1,0,0
ORD00178,0,3,1,2260.0,fashion,"H.No. 8, Gandhi Marg, Mirzapur",67,13,0,1
ORD00179,1,2,0,2210.0,home,"23, Lake View Lane, Mumbai, 166515",90,3,0,0
ORD00180,0,2,0,630.0,grocery,"Plot No. 17, MG Road, Ranchi",67,17,0,1
ORD00181,0,2,0,560.0,home,"Plot No. 17, Park Street, Nagpur",67,8,0,0
ORD00182,0,2,0,440.0,fashion,"23, Station Road, Mirzapur",67,1,1,0
ORD00183,1,2,0,640.0,home,"H.No. 8, Park Street, Pune, 255373",90,1,0,0
ORD00184,1,2,5,290.0,beauty,"Door No. 5, Lake View Lane, Kanpur",67,17,0,1
ORD00185,0,1,0,640.0,beauty,"Flat 4B, MG Road, Opposite Petrol Pump, Nagpur, 650962",100,16,1,0
ORD00186,1,2,0,1630.0,grocery,"23, Church Street, Nagpur, 722997",90,8,0,0
ORD00187,1,1,0,460.0,grocery,"H.No. 8, Sector 12, Guwahati, 274512",90,7,1,0
ORD00188,1,2,3,580.0,beauty,"23, Ashok Vihar, Opposite SBI Bank, Guwahati",77,1,1,0
ORD00189,0,2,0,240.0,fashion,"H.No. 8, Church Street, Nagpur, 586450",90,1,0,0
ORD00190,0,2,0,830.0,electronics,"Plot No. 17, Sector 12, Near City Hospital, Indore, 508620",100,4,1,1
ORD00191,0,3,3,780.0,grocery,"Flat 4B, Park Street, Opposite SBI Bank, Patna, 548759",100,11,1,1
ORD00192,1,3,0,690.0,accessories,"Door No. 5, Nehru Nagar, Opposite SBI Bank, Ranchi",77,15,1,0
ORD00193,1,2,0,580.0,fashion,"Flat 4B, Ashok Vihar, Nagpur",67,13,0,0
ORD00194,1,2,0,560.0,home,"Door No. 5, Gandhi Marg, Near Water Tank, Nagpur, 590264",100,19,0,0
ORD00195,0,2,0,900.0,electronics,"Ashok Vihar, Near City Hospital, Lucknow, 218762",73,1,0,0
ORD00196,0,1,0,650.0,fashion,"Flat 4B, Station Road, Opposite Petrol Pump, Bhopal",77,23,0,0
ORD00197,1,1,1,800.0,home,"Plot No. 17, MG Road, Patna, 830938",90,7,0,0
ORD00198,1,1,0,760.0,beauty,"Park Street, Near Water Tank, Guwahati, 792241",73,3,0,0
ORD00199,1,2,1,1310.0,fashion,"Model Colony, Near Govt School, Patna, 814046",73,19,1,0
ORD00200,1,2,0,1000.0,grocery,"Plot No. 17, Ashok Vihar, Nagpur, 680357",90,8,0,0
ORD00201,1,3,0,750.0,grocery,"Nehru Nagar, Near Water Tank, Mumbai, 291510",73,19,1,0
ORD00202,0,1,0,1650.0,accessories,"Gandhi Marg, Pune, 427302",63,18,0,0
ORD00203,0,1,3,860.0,fashion,"H.No. 8, Lake View Lane, Behind Central Mall, Nagpur, 562676",100,1,0,0
ORD00204,1,3,0,1460.0,home,"Ashok Vihar, Near City Hospital, Lucknow, 394641",73,15,0,0
ORD00205,1,1,1,960.0,electronics,"Model Colony, Mirzapur, 453938",63,10,0,0
ORD00206,0,2,0,220.0,electronics,"H.No. 8, Sector 12, Opposite SBI Bank, Indore, 479377",100,7,1,1
ORD00207,0,2,0,1460.0,home,"Door No. 5, Park Street, Near Water Tank, Mumbai, 342756",100,11,0,0
ORD00208,1,2,0,720.0,grocery,"Plot No. 17, Ashok Vihar, Lucknow, 635595",90,2,0,0
ORD00209,0,1,0,640.0,fashion,"23, Sector 12, Lucknow, 449347",90,12,0,0
ORD00210,0,1,0,790.0,accessories,"Flat 4B, Park Street, Behind Central Mall, Jaipur",77,1,0,0
ORD00211,0,1,0,540.0,grocery,"23, MG Road, Mumbai",67,12,0,0
ORD00212,1,2,2,760.0,grocery,"Sector 12, Patna, 151534",63,7,0,0
ORD00213,1,2,0,470.0,grocery,"Nehru Nagar, Behind Central Mall, Guwahati, 757190",73,14,0,0
ORD00214,0,1,1,1430.0,electronics,"Plot No. 17, Model Colony, Opposite SBI Bank, Mirzapur, 222623",100,23,0,0
ORD00215,1,2,0,620.0,grocery,"23, Sector 12, Indore, 239174",90,20,0,0
ORD00216,0,3,0,530.0,electronics,"Door No. 5, Park Street, Indore, 336222",90,8,1,1
ORD00217,0,1,1,380.0,accessories,"Flat 4B, Model Colony, Opposite SBI Bank, Ranchi",77,10,0,0
ORD00218,1,2,0,780.0,fashion,"Flat 4B, Lake View Lane, Opposite Petrol Pump, Patna, 354709",100,21,0,0
ORD00219,1,2,0,740.0,fashion,"Church Street, Near City Hospital, Kanpur, 517471",73,20,0,0
ORD00220,1,1,1,840.0,home,"Flat 4B, Gandhi Marg, Nagpur",67,2,1,0
ORD00221,1,2,3,360.0,electronics,"Plot No. 17, Park Street, Pune",67,6,1,0
ORD00222,1,2,0,250.0,electronics,"Door No. 5, Ashok Vihar, Mumbai",67,13,1,0
ORD00223,0,3,0,970.0,electronics,"Flat 4B, Model Colony, Near City Hospital, Indore, 617802",100,14,0,0
ORD00224,0,3,3,1620.0,accessories,"23, Gandhi Marg, Patna, 443799",90,8,0,0
ORD00225,0,2,0,360.0,home,"Plot No. 17, Ashok Vihar, Opposite SBI Bank, Indore, 794195",100,19,0,0
ORD00226,0,2,1,1730.0,electronics,"Flat 4B, Model Colony, Nagpur, 828765",90,10,1,0
ORD00227,1,2,0,790.0,fashion,"Plot No. 17, Church Street, Near Water Tank, Mirzapur, 170965",100,6,0,0
ORD00228,0,2,0,660.0,electronics,"Plot No. 17, Church Street, Bhopal, 552976",90,11,0,0
ORD00229,1,2,1,520.0,home,"23, Park Street, Opposite Petrol Pump, Jaipur, 204266",100,18,1,0
ORD00230,1,1,0,290.0,beauty,"Sector 12, Near Govt School, Kanpur, 466757",73,17,0,0
ORD00231,1,2,0,1200.0,fashion,"Plot No. 17, Sector 12, Opposite Petrol Pump, Nagpur, 741167",100,12,0,0
ORD00232,0,2,0,420.0,fashion,"Plot No. 17, MG Road, Near Water Tank, Lucknow, 177819",100,10,0,0
ORD00233,1,2,2,420.0,electronics,"Plot No. 17, Station Road, Indore, 675469",90,0,0,0
ORD00234,0,3,1,1210.0,electronics,"Plot No. 17, MG Road, Bhopal, 303329",90,5,0,0
ORD00235,0,1,0,210.0,electronics,"23, Lake View Lane, Mirzapur",67,20,0,0
ORD00236,1,2,0,270.0,grocery,"Park Street, Kanpur",40,1,1,0
ORD00237,0,1,1,660.0,electronics,"H.No. 8, Lake View Lane, Jaipur",67,12,1,1
ORD00238,0,3,2,790.0,home,"Door No. 5, Church Street, Near Water Tank, Jaipur",77,12,0,0
ORD00239,1,2,1,890.0,beauty,"Plot No. 17, Sector 12, Behind Central Mall, Nagpur, 339109",100,18,0,0
ORD00240,0,2,0,550.0,fashion,"23, MG Road, Indore, 823685",90,8,0,0
ORD00241,1,2,1,3040.0,beauty,"Flat 4B, Station Road, Behind Central Mall, Guwahati",77,18,0,1
ORD00242,1,2,1,580.0,home,"Plot No. 17, Park Street, Patna, 617055",90,22,0,0
ORD00243,1,3,0,580.0,electronics,"Park Street, Opposite Petrol Pump, Ranchi, 534313",73,0,0,0
ORD00244,0,2,0,410.0,grocery,"Nehru Nagar, Patna",40,22,1,0
ORD00245,0,2,0,720.0,fashion,"Church Street, Mumbai, 598546",63,7,1,0
ORD00246,1,3,1,960.0,accessories,"H.No. 8, Church Street, Nagpur, 181410",90,22,0,0
ORD00247,0,1,0,1370.0,home,"23, Lake View Lane, Near Water Tank, Indore, 249491",100,13,0,0
ORD00248,1,1,1,270.0,beauty,"Plot No. 17, Lake View Lane, Behind Central Mall, Pune, 428473",100,23,0,0
ORD00249,1,2,3,570.0,accessories,"Door No. 5, Station Road, Nagpur, 558055",90,15,0,0
ORD00250,1,3,2,870.0,grocery,"H.No. 8, Station Road, Mirzapur, 657043",90,3,0,0
ORD00251,0,2,3,950.0,beauty,"Door No. 5, MG Road, Near Govt School, Pune, 282646",100,17,1,1
ORD00252,0,1,4,670.0,grocery,"Door No. 5, Model Colony, Kanpur, 607452",90,13,1,1
ORD00253,1,2,0,920.0,electronics,"H.No. 8, Sector 12, Near City Hospital, Ranchi, 776238",100,8,0,0
ORD00254,0,2,1,410.0,home,"Flat 4B, Park Street, Mumbai, 697329",90,14,0,0
ORD00255,0,1,0,1690.0,fashion,"Door No. 5, MG Road, Near Water Tank, Lucknow, 134401",100,2,1,0
ORD00256,1,2,2,1210.0,fashion,"23, Park Street, Patna, 760036",90,3,1,0
ORD00257,1,3,0,300.0,grocery,"23, Church Street, Patna, 206867",90,22,0,0
ORD00258,1,2,5,350.0,fashion,"23, Station Road, Pune, 460794",90,17,0,0
ORD00259,1,2,1,350.0,fashion,"H.No. 8, Gandhi Marg, Opposite SBI Bank, Guwahati, 351918",100,13,1,0
